G	BIC	sil_mean	ari_mean	ari_sd
1	-1352791.69745726			
2	-1227570.00218237	0.204868555935125	0.109931096967211	0.259256745086696
3	-1117680.96017351	0.203154991202465	0.675559585817489	0.286386579785314
4	-1050596.44774057	0.161598973261778	0.867399754552861	0.137527044653975
5	-1012749.43014971	0.093309800980757	0.519500108981652	0.138757253934375
6	-986213.437742767	0.0607051437717581	0.469026083670313	0.172532029021074
7	-967753.918457305	0.0738098926398986	0.504736033991513	0.0970663835396376
8	-944496.953104879	0.0652984786056306	0.491693984476171	0.106726337136817
9	-935331.074130379	0.0745284413478143	0.541328341529105	0.172530091595643
10	-927829.618836616	0.0638309328032189	0.425303969116661	0.0718891218512935
