metric	zw_mean	autosome_mean	wilcoxon_p	chromosome_permutation_p
z_fst	0.0323490612395834	-0.00321234449606703	2.16778820065224e-05	1
z_dxy	-0.279537134122194	0.0279731749778622	9.33550182345061e-213	1
z_pi	-0.263636645455645	0.0263897192270394	2.94173368215366e-176	1
z_taj	0.0991628166065827	-0.00984712584259222	2.63857740792893e-17	1
z_f3	-0.142126925846059	0.0141560510069373	9.21251391500267e-84	1
sweep_strength	-0.195405522772621	-0.284025288957699	1.07583825578549e-88	1
balancing_strength	-0.574581807593793	-0.263225538757621	6.83127040856722e-138	1
frac_broad_agreement_selected_like	0.382150537634414	0.393190787113484	0.0108855518850121	1
frac_local_outlier_selected_like	0.00014336917562722	0.000753390256152692	0.0092897016257887	1
frac_genomewide_shift_selected_like	0	2.15254358900824e-05	0.583713582043451	1
