Chromosome_Names	n_windows	mean_z_dxy	mean_z_fst	mean_z_pi	mean_z_f3	mean_z_taj	mean_z_rec	mean_sweep_strength	mean_balancing_strength	frac_gmmrf_neutral	frac_gmmrf_balancing	frac_gmmrf_sweep	frac_gmmrf_contdist_neutral	frac_gmmrf_contdist_balancing	frac_gmmrf_contdist_sweep	frac_empirical_fdr_balancing	frac_empirical_fdr_sweep	frac_genomewide_fdr_balancing	frac_genomewide_fdr_sweep
Chromosome_1	17290	-0.118987689405349	0.101601884878984	-0.111208177716118	-0.0398988386912084	-0.00620819547314518	-0.364836065729344	-0.266374949535455	-0.556634671588532	0.464025448235975	0.281492192018508	0.134702139965298	0.345286292654714	0.20722961249277	0.0929438982070561	5.78368999421631e-05	0.000115673799884326	0	5.78368999421631e-05
Chromosome_2	15600	-0.0664866705389971	0.0534228454706466	-0.0470256024078093	-0.221181082919833	-0.00754139925862306	0.152182727028599	-0.334155064068062	-0.477754392764767	0.495192307692308	0.293910256410256	0.103012820512821	0.373653846153846	0.224679487179487	0.0650641025641026	6.41025641025641e-05	0.000833333333333333	0	0
Chromosome_3	15550	-0.012881917170744	0.0134010756049093	-0.00803396971466597	0.0162845459611856	0.0652896189263954	0.0611208873454914	-0.275706721441964	-0.336264969916627	0.430610932475884	0.318135048231511	0.13967845659164	0.320707395498392	0.262893890675241	0.0962700964630225	6.43086816720257e-05	0.000128617363344051	6.43086816720257e-05	0
Chromosome_4	12650	0.0652481697043287	-0.0128679211754478	0.0614935665236941	0.023568128093558	0.0194260447581595	-0.0963884500298657	-0.257339135288099	-0.206587173107872	0.385770750988142	0.367114624505929	0.137075098814229	0.275731225296443	0.324189723320158	0.0930434782608696	7.90513833992095e-05	0.000158102766798419	0	0
Chromosome_5	10700	-0.0300328546366485	-0.0179539519038793	-0.0139355536876162	0.0191486109025227	-0.0227040453104844	-0.152177914694862	-0.296165812106679	-0.337506162753255	0.411214953271028	0.35214953271028	0.130560747663551	0.308785046728972	0.28214953271028	0.0871028037383178	9.34579439252336e-05	0.000186915887850467	0	0
Chromosome_6	9980	-0.270581776575996	0.287300888381166	-0.318841706970555	-0.143370400807318	-0.150224465257062	-0.0307058774106733	-0.233826984554559	-0.73184703124115	0.470140280561122	0.241382765531062	0.181963927855711	0.362224448897796	0.191082164328657	0.135571142284569	0.000100200400801603	0.000100200400801603	0	0
Chromosome_7	9080	-0.0638571951908216	-0.0339749780015912	-0.022620343539927	-0.0404736485770052	-0.0399791182700917	0.0857323862656177	-0.327667397485636	-0.359867107412509	0.454185022026432	0.335242290748899	0.101321585903084	0.343171806167401	0.255176211453744	0.0682819383259912	0.000110132158590308	0.000550660792951542	0	0
Chromosome_8	8820	0.0733840455063811	0.176215470642393	-0.0233328237916123	0.220682470655915	0.0930893367227978	-0.0822557816991796	-0.137452282078826	-0.234692404150324	0.328571428571429	0.335034013605442	0.233106575963719	0.225510204081633	0.313038548752835	0.184353741496599	0.000113378684807256	0.000113378684807256	0	0.000113378684807256
Chromosome_9	7190	-0.024279791464163	-0.0060109787968356	-0.0117493053770218	-0.144348547126977	-0.0912489249441369	0.234634755494265	-0.338866883131051	-0.36754387789056	0.44923504867872	0.341585535465925	0.110709318497914	0.348539638386648	0.270792767732962	0.0713490959666203	0.000139082058414465	0.000556328233657858	0	0
Chromosome_10	6740	-0.104171979158684	0.107828548554	-0.115228772770747	-0.193510080855414	-0.0968052359262825	0.0153672063413053	-0.311808520892665	-0.554900345333245	0.468545994065282	0.301780415430267	0.127151335311573	0.364391691394659	0.232492581602374	0.0872403560830861	0.000148367952522255	0.00029673590504451	0	0
Chromosome_11	5430	0.271997953971695	-0.221350354923054	0.282624932743897	0.292489805037615	0.0270810106687616	0.160973361521638	-0.299746957294467	0.279956924321992	0.252670349907919	0.499447513812155	0.142909760589319	0.182872928176796	0.458379373848987	0.0968692449355433	0	0.000368324125230203	0	0
