Chromosome_Names	sweep_candidates_preFDR	balancing_candidates_preFDR	best_sweep_q_chr_aware	best_balancing_q_chr_aware	best_sweep_q_genomewide	best_balancing_q_genomewide	sweep_fdr_chr_aware	balancing_fdr_chr_aware	sweep_fdr_genomewide	balancing_fdr_genomewide
Chromosome_1	1336	1933	7.79599651070803e-05	0.000112796865682624	0.0451629559643871	0.169010969265021	2	1	1	0
Chromosome_2	834	1873	5.39421736018257e-05	0.000121143514575803	0.0852275962205066	0.197694567387656	13	1	0	0
Chromosome_3	1272	2423	8.27263213627523e-05	0.000157583236369457	0.0789674961804879	0.000168995606028109	2	1	0	1
Chromosome_4	1036	2386	8.35214379618318e-05	0.000192357288587771	0.0827235562044992	0.177051063248782	2	1	0	0
Chromosome_5	801	1678	7.55304030617253e-05	0.000158227236376498	0.0892663704398735	0.169010969265021	2	1	0	0
Chromosome_6	1279	1060	0.000130496874757997	0.000108152218329536	0.0870161962319405	0.169010969265021	1	1	0	0
Chromosome_7	542	1256	6.03026190139498e-05	0.000139741862512031	0.0802195161884917	0.169010969265021	5	1	0	0
Chromosome_8	1536	1772	0.000177633840912011	0.000204926540427138	9.02356762525216e-05	0.169010969265021	1	1	1	0
Chromosome_9	450	1052	6.33624241956598e-05	0.000148127267230742	0.0898124582216471	0.169010969265021	4	1	0	0
Chromosome_10	538	885	8.07443973068592e-05	0.000132823032744555	0.0891625162456612	0.0845823008170685	2	1	0	0
Chromosome_11	486	1323	9.15081733179866e-05	0.249354688504107	0.0849330032774469	0.177051063248782	2	0	0	0
Chromosome_12	270	1459	6.03756573399693e-05	0.000326252163181538	0.0902358737047672	0.177051063248782	5	1	0	0
Chromosome_13	688	1206	0.00015265139723732	0.000267583699227047	0.0812211321948947	0.177051063248782	1	1	0	0
Chromosome_14	16	1498	4.01102932789438e-06	0.000375532620824111	0.0966167003061655	0.181072756301761	16	1	0	0
Chromosome_15	168	1147	5.03596971343834e-05	0.000343824836982963	0.0902358737047672	0.181072756301761	18	1	0	0
Chromosome_16	418	108	0.000168276904880473	4.34782433662466e-05	0.0820406362001335	0.169010969265021	1	9	0	0
Chromosome_17	4	432	0.00790908309379141	0.000426877048540466	0.104740688269841	0.197694567387656	4	1	0	0
Chromosome_ZW	1945	2015	0.000142678980143854	0.00014781395629299	0.0837967162113595	0.194168760023913	1	1	0	0
