"analysis","rule","r_squared","adj_r_squared","aic"
"abs_delta_p ~ B_no_delta_p","Majority 2-of-3",0.204061474703959,0.204056035736314,-439637.222797655
"abs_delta_p ~ B_no_delta_p + K_local_mean","Majority 2-of-3",0.212207167052404,0.212196374852326,-440376.223203198
"abs_delta_p ~ K_local_mean","Majority 2-of-3",0.155620124770984,0.15561451852007,-444366.806190628
"f3 ~ B_no_delta_p","Majority 2-of-3",0.172158264310849,0.172152607258438,-1793788.93263258
"f3 ~ B_no_delta_p + K_local_mean","Majority 2-of-3",0.178966984360898,0.178955736639934,-1790795.67510878
"f3 ~ K_local_mean","Majority 2-of-3",0.130770269049299,0.130764504620609,-1838586.40577532
"abs_delta_p ~ B_no_delta_p","GMM/RF",0.210777391700378,0.210771502374972,-399139.355775146
"abs_delta_p ~ B_no_delta_p + K_local_mean","GMM/RF",0.219348302888735,0.21933662435336,-399910.448249234
"abs_delta_p ~ K_local_mean","GMM/RF",0.154906128465866,0.154900517474381,-444239.501135903
"f3 ~ B_no_delta_p","GMM/RF",0.177003067670924,0.176996926223594,-1641427.84649376
"f3 ~ B_no_delta_p + K_local_mean","GMM/RF",0.184999198928755,0.184987006349001,-1638890.71784006
"f3 ~ K_local_mean","GMM/RF",0.129252780086612,0.129247005594465,-1838323.38126969
"abs_delta_p ~ B_no_delta_p","Best continuous 3-of-3",0.392556580649611,0.392547323522569,-188960.520002407
"abs_delta_p ~ B_no_delta_p + K_local_mean","Best continuous 3-of-3",0.422626442085014,0.422608780810435,-191734.271929695
"abs_delta_p ~ K_local_mean","Best continuous 3-of-3",0.150921264007939,0.150915601784365,-441543.121045123
"f3 ~ B_no_delta_p","Best continuous 3-of-3",0.288988394584621,0.288977559131393,-808285.600515267
"f3 ~ B_no_delta_p + K_local_mean","Best continuous 3-of-3",0.302265827145718,0.302244484161368,-806654.825027294
"f3 ~ K_local_mean","Best continuous 3-of-3",0.113161521607996,0.11315561458903,-1827530.53202608
"abs_delta_p ~ B_no_delta_p","Margin >= 0.25",0.396747523706992,0.396738207066432,-186641.710328473
"abs_delta_p ~ B_no_delta_p + K_local_mean","Margin >= 0.25",0.427594776664205,0.427577032066792,-189486.757711687
"abs_delta_p ~ K_local_mean","Margin >= 0.25",0.15027599860899,0.150270329171172,-441170.443099454
"f3 ~ B_no_delta_p","Margin >= 0.25",0.294203821170274,0.294192920843188,-798033.229769018
"f3 ~ B_no_delta_p + K_local_mean","Margin >= 0.25",0.307813606295293,0.307792148474173,-796451.023467025
"f3 ~ K_local_mean","Margin >= 0.25",0.112582651576146,0.112576737668349,-1826467.6912641
"abs_delta_p ~ B_no_delta_p","Margin >= 0.50",0.400318672657747,0.400309287679699,-184412.687055576
"abs_delta_p ~ B_no_delta_p + K_local_mean","Margin >= 0.50",0.43234926585144,0.432331433144285,-187364.328925933
"abs_delta_p ~ K_local_mean","Margin >= 0.50",0.149133761717053,0.149128081702111,-440717.690856723
"f3 ~ B_no_delta_p","Margin >= 0.50",0.298511147240197,0.298500168980271,-788007.262564044
"f3 ~ B_no_delta_p + K_local_mean","Margin >= 0.50",0.312604389954059,0.312582795470204,-786459.509706855
"f3 ~ K_local_mean","Margin >= 0.50",0.111882210256764,0.11187628860299,-1825384.75882935
"abs_delta_p ~ B_no_delta_p","Margin >= 1.00",0.40859230045526,0.408582759774813,-179442.613076228
"abs_delta_p ~ B_no_delta_p + K_local_mean","Margin >= 1.00",0.442749933103393,0.442731886856206,-182580.709573138
"abs_delta_p ~ K_local_mean","Margin >= 1.00",0.147419320672321,0.147413610419758,-438868.237904484
"f3 ~ B_no_delta_p","Margin >= 1.00",0.308157111208141,0.308145950291693,-765365.607849699
"f3 ~ B_no_delta_p + K_local_mean","Margin >= 1.00",0.323466812176876,0.323444903009227,-763957.855068513
"f3 ~ K_local_mean","Margin >= 1.00",0.110738131906358,0.110732183069564,-1819131.30430316
"abs_delta_p ~ B_no_delta_p","Top 1%",0.514521358648729,0.514336414404405,-4743.26432423553
"abs_delta_p ~ B_no_delta_p + K_local_mean","Top 1%",0.536170608309238,0.535815319613956,-4834.6931121828
"abs_delta_p ~ K_local_mean","Top 1%",0.173078739149158,0.173047761354116,-65008.0160350401
"f3 ~ B_no_delta_p","Top 1%",0.456211278078676,0.456004120470325,-32434.5929252767
"f3 ~ B_no_delta_p + K_local_mean","Top 1%",0.467662454406008,0.467254689147031,-32334.7699456072
"f3 ~ K_local_mean","Top 1%",0.215424786370079,0.21539551882005,-330861.418935863
"abs_delta_p ~ B_no_delta_p","Top 500",0.522450963926978,0.521900157656997,-1212.65676297844
"abs_delta_p ~ B_no_delta_p + K_local_mean","Top 500",0.555165493089682,0.554135783582945,-1269.92028870554
"abs_delta_p ~ K_local_mean","Top 500",0.158184076655992,0.158113234619188,-26018.1686591893
"f3 ~ B_no_delta_p","Top 500",0.446025155719595,0.445386199728499,-10564.0279367086
"f3 ~ B_no_delta_p + K_local_mean","Top 500",0.455185673904981,0.453924529631612,-10558.9711862617
"f3 ~ K_local_mean","Top 500",0.217656316671237,0.217590793749685,-148679.397023725
