tier	class	observed_unique_genes	null_mean_unique_genes	null_q95_unique_genes	empirical_p_unique_genes	enrichment_ratio_unique_genes
gmm_rf	balancing	10458	11843.61	11925.15	1	0.883007799142322
gmm_rf	sweep	4733	6389.66	6465.2	1	0.740727988656674
best_continuous_3of3	balancing	9697	11322.42	11411.2	1	0.856442350663551
best_continuous_3of3	sweep	3313	4892.43	4977.1	1	0.677168605376061
continuous_distance_3class	balancing	10410	12302.08	12386.1	1	0.846198366455104
continuous_distance_3class	sweep	5772	7981.92	8072.25	1	0.723134283480666
gmm_rf_contdist	balancing	9007	10682.05	10757	1	0.843190211616684
gmm_rf_contdist	sweep	3213	4644.29	4723	1	0.691817263779824
empirical_fdr_selected	balancing	11	9.71	14	0.386138613861386	1.13285272914521
empirical_fdr_selected	sweep	48	36.23	45	0.0396039603960396	1.32486889318245
genomewide_fdr_selected	balancing	0	0.49	1	1	0
genomewide_fdr_selected	sweep	2	0.89	2	0.247524752475248	2
dist_margin_025	balancing	8568	10270.06	10356.05	1	0.834269712153581
dist_margin_025	sweep	2625	3695.05	3777	1	0.710409872667488
dist_margin_050	balancing	8024	9765.61	9839	1	0.821658862068012
dist_margin_050	sweep	1792	2365.26	2429.1	1	0.757633410280477
dist_margin_100	balancing	6746	8472.36	8553.15	1	0.796236231699314
dist_margin_100	sweep	26	34.59	43	0.96039603960396	0.751662330153223
score_margin_025	balancing	9594	11243.68	11326.05	1	0.853279353378965
score_margin_025	sweep	3265	4816.17	4902.1	1	0.677924574921566
score_margin_050	balancing	9486	11153.45	11235.5	1	0.850499172901658
score_margin_050	sweep	3213	4749.7	4844.15	1	0.676463776659579
score_margin_100	balancing	9234	10963.84	11057	1	0.842223162687526
score_margin_100	sweep	3111	4606.14	4699.2	1	0.67540283187224
dist_top1pct	balancing	250	220.66	242	0.0297029702970297	1.13296474213722
dist_top1pct	sweep	86	65.51	77	0.0099009900990099	1.31277667531675
dist_top500	balancing	220	196.38	212.05	0.0297029702970297	1.12027701395254
dist_top500	sweep	142	126.55	141	0.0396039603960396	1.12208613196365
margin_025	balancing	9594	11240.78	11317.1	1	0.853499490248897
margin_025	sweep	3265	4819.99	4893.3	1	0.67738729748402
margin_050	balancing	9486	11168.64	11252.05	1	0.849342444559051
margin_050	sweep	3213	4760.54	4829	1	0.674923433055914
margin_100	balancing	9234	10971.36	11054.15	1	0.841645885286783
margin_100	sweep	3111	4602.51	4677.2	1	0.675935522139007
top1pct	balancing	482	440.96	474.1	0.0297029702970297	1.09306966618287
top1pct	sweep	528	524.53	561.2	0.425742574257426	1.00661544620899
tail500	balancing	157	146.82	162	0.188118811881188	1.06933660264269
tail500	sweep	203	179.07	196.05	0.0099009900990099	1.13363489138326
