tier	class	n_windows	bp_covered	n_chromosomes	mean_avg_dxy	median_avg_dxy	mean_avg_wc_fst	median_avg_wc_fst	mean_pi_average	median_pi_average	mean_f3	median_f3	mean_TajimaD	median_TajimaD	mean_recombination	median_recombination	mean_abs_delta_p	median_abs_delta_p	mean_B_no_delta_p	median_B_no_delta_p	mean_K_local_mean	median_K_local_mean	fraction_of_genome
GMM/RF	Balancing selection	53463	534630000	18	0.012916709152547	0.0126968556278108	0.128710325465094	0.131565032751584	0.0113552946620126	0.011002806888155	0.000242831802417768	0.000166946000712823	-0.261155304205335	-0.240619	6.61574494598647e-10	5.79262283932619e-10	0.161863201130235	0.161187761715951					
GMM/RF	Geographic sweep	22153	221530000	18	0.00961251337877104	0.0087653353840404	0.46464152182127	0.505732942369686	0.00555099124252413	0.0041781681666656	-0.000358017562369152	-0.00033973178007271	-0.0229123484494059	-0.0245689	3.94372716661436e-10	3.00207269327039e-10	0.277140335755648	0.271596877817394					
GMM/RF	Neutral / equilibrium	60780	607800000	18	0.00828705701833412	0.0079840256792847	0.320030201855707	0.310243770032596	0.00573320179138458	0.00550586672549355	-0.000407192757081871	-0.000359119014840244	-0.363423979427616	-0.370718	4.39357428558916e-10	3.67892380454766e-10	0.221632968835051	0.217802588826525					
GMM/RF	No consensus	16924	169240000	18	0.0107004462901291	0.00954914802087265	0.280210234850002	0.226731575882383	0.00795773178300606	0.00686973120643685	-0.000171724427332271	-0.000137323207742206	-0.187378662731559	-0.200046	4.58712975019562e-10	3.65688236786793e-10	0.211287756293389	0.204410366585147					
Old best continuous 3-of-3	Balancing selection	49403	494030000	18	0.0135643477777366	0.0132374707855938	0.125694938553404	0.127748019552274	0.0119443437195033	0.0115109855042939	0.00026009840770785	0.000191366660549483	-0.223913577722543	-0.211162	6.8126603128959e-10	6.06348486641217e-10	0.161836011629133	0.161180424226557					
Old best continuous 3-of-3	Geographic sweep	16280	162800000	18	0.0074374066711983	0.00737955025718095	0.530096835155907	0.544344153999493	0.00348700897518525	0.0033585964331665	-0.000484089361901311	-0.00044018774671604	-0.0829116228403065	-0.08656565	3.41053256327002e-10	2.73506085541861e-10	0.295734396262431	0.290557843360122					
Old best continuous 3-of-3	No consensus	87637	876370000	18	0.00911515463955136	0.0083677776362385	0.302239459537043	0.290916452177935	0.00648021931183623	0.00579124688489205	-0.000312334202597753	-0.000284234526089496	-0.310317520158975	-0.321984	4.49276831700778e-10	3.70976182232414e-10	0.217026550774313	0.213052308460745					
Continuous-distance 3-class	Balancing selection	57702	577020000	18	0.0142492424930556	0.0137650413520653	0.145476585802602	0.139316661205266	0.0122594249235305	0.0116260868348675	0.000254402677108204	0.000200061353020596	-0.14491634693794	-0.15383	7.10327277332408e-10	6.43066825993089e-10	0.170287365645455	0.168349500799326					
Continuous-distance 3-class	Geographic sweep	31262	312620000	18	0.00907654765638485	0.0088633659313405	0.45859570236718	0.449525447657283	0.00510478888817523	0.0048790599859107	-0.000598826551263648	-0.000532267506108898	0.129329501553884	0.1013	3.36254011778123e-10	2.63325015833228e-10	0.286716499391819	0.276701304876956					
Continuous-distance 3-class	Neutral / equilibrium	61963	619630000	18	0.0074848552972051	0.0071820445241558	0.288642294531924	0.279763446484816	0.00537656092288294	0.00517449813668345	-0.000286049701057587	-0.000243253110080646	-0.557614037798141	-0.537267	4.04306096027703e-10	3.48629383981626e-10	0.202194844050935	0.201602363570958					
Continuous-distance 3-class	No consensus	2393	23930000	18	0.00404159177739424	0	0.152638447360306	0.111960937600917	0.00359161760495079	0	8.30450599747875e-05	0	-0.239678385731707	-0.2656005	1.08386472289624e-09	1.04969322547271e-09	0.136412769987037	0.135662667811507					
GMM/RF + continuous-distance agreement	Balancing selection	44926	449260000	18	0.0141533069175196	0.0138460810287934	0.122826987974357	0.123890873685944	0.0124918813076321	0.0120638424578873	0.00029339318710713	0.000232744061373867	-0.180594828909981	-0.183049	7.22186505748642e-10	6.57148443833886e-10	0.161847767659136	0.161270334384729					
GMM/RF + continuous-distance agreement	Geographic sweep	15204	152040000	18	0.00845614501693196	0.0079570424997098	0.54581782295433	0.548044159751515	0.00404509422777557	0.00364650640164223	-0.000574208343954767	-0.000497384503288524	0.0851348712576171	0.0369286	3.21628674251513e-10	2.57468757244146e-10	0.310634914397818	0.298797787080419					
GMM/RF + continuous-distance agreement	Neutral / equilibrium	44896	448960000	18	0.00774038187888988	0.00745265908245125	0.310946645293379	0.299535177280361	0.00544100821274628	0.0052292342193698	-0.0003489633628852	-0.000317820659663249	-0.515496300569093	-0.4951185	4.18069479704242e-10	3.63009292402531e-10	0.210899148583164	0.209081592689316					
